TSNE1,TSNE2,Cluster
20.472363,64.758064,0
100.44192,11.739224,0
20.472363,64.758064,0
90.973236,34.38839,0
37.25141,-5.518789,0
30.244377,-39.108387,0
19.23857,64.262405,0
31.38532,72.90533,0
104.64969,7.821708,0
5.8289638,-67.12644,0
68.88652,-24.84684,0
29.175749,-36.532967,0
18.128736,-75.79529,0
75.81601,-22.630213,0
100.0238,12.004762,0
1.362956,13.17921,0
19.23857,64.262405,0
-31.5955,-74.24302,0
105.38127,6.5933485,0
10.433962,31.54801,0
-32.915394,-80.51108,0
40.088257,49.870342,0
35.118862,-71.44566,0
105.8824,-2.2387767,0
20.472363,64.758064,0
46.35803,-56.334164,0
-15.295153,-15.885965,0
74.2621,18.98187,0
73.0,-50.898335,0
-95.41989,9.593563,0
104.94425,7.370591,0
78.34646,-23.091028,0
9.978286,-83.94016,0
67.42167,8.299171,0
30.871246,-34.792355,0
17.553677,18.634415,0
54.689262,-8.975912,0
15.908594,-80.70932,0
64.97278,-1.2835674,0
3.6908858,-72.61398,0
7.17992,43.34315,0
89.35196,-26.837507,0
-32.518772,-74.831024,0
75.98061,-58.474262,0
69.29581,-47.25711,0
-30.590914,-65.25536,0
56.540836,-14.524289,0
87.71444,35.99976,0
-30.81005,-61.490887,0
19.23857,64.262405,0
20.472363,64.758064,0
30.067081,-40.76711,0
105.74882,5.688866,0
79.391235,-10.565153,0
40.56021,-12.809987,0
20.472363,64.758064,0
20.472363,64.758064,0
-57.17651,4.7117257,0
67.177086,-45.819653,0
48.571434,-24.731327,0
-16.278536,-85.2986,0
78.8251,26.527697,0
-74.22568,17.00907,0
-29.577532,-64.15045,0
19.23857,64.262405,0
-74.19496,-5.166097,0
-1.5499363,61.243015,0
20.472363,64.758064,0
-3.3399363,-30.85663,0
20.472363,64.758064,0
20.472363,64.758064,0
51.174225,-12.633233,0
103.67825,9.014842,0
-23.579338,-74.16542,0
73.203995,-22.70545,0
8.260644,-68.238655,0
-59.007927,41.015324,0
71.00364,-49.040615,0
20.472363,64.758064,0
20.472363,64.758064,0
18.976284,-77.81215,0
-17.835684,-82.38134,0
-4.214229,-85.56954,0
57.87072,-14.313109,0
20.472363,64.758064,0
20.472363,64.758064,0
64.69758,20.109003,0
73.03813,-22.728432,0
37.73163,-15.373068,0
-29.20799,-65.63683,0
-18.557375,-56.78803,0
20.472363,64.758064,0
102.02336,10.541542,0
1.8613582,-41.376396,0
17.06384,-27.855602,0
105.25022,6.86401,0
43.90511,19.37658,0
11.555107,-88.822876,0
68.4952,7.775573,0
17.844555,-64.79877,0
5.553669,27.445032,0
-74.76548,-25.418787,0
22.726334,-66.70542,0
4.4401636,19.943226,0
-13.834715,-42.52124,0
55.71057,57.09863,0
62.489964,9.936255,0
58.318108,11.5514345,0
58.324215,11.575403,0
-15.4270115,54.776447,0
-17.606676,-82.77702,0
48.43365,79.98382,0
19.753782,65.79049,0
18.64965,-47.345524,0
-8.274934,4.995046,0
-35.267548,-74.74518,0
1.4395566,-24.822533,0
28.80339,-34.98696,0
79.8255,-10.570939,0
98.876335,16.305521,0
27.366312,-67.88829,0
63.576393,-43.81611,0
