TSNE1,TSNE2,Cluster
20.472363,64.758064,1
100.44192,11.739224,1
20.472363,64.758064,1
90.973236,34.38839,1
37.25141,-5.518789,1
30.244377,-39.108387,1
19.23857,64.262405,1
31.38532,72.90533,1
104.64969,7.821708,1
5.8289638,-67.12644,1
68.88652,-24.84684,1
29.175749,-36.532967,1
18.128736,-75.79529,1
75.81601,-22.630213,1
100.0238,12.004762,1
1.362956,13.17921,1
19.23857,64.262405,1
-31.5955,-74.24302,1
105.38127,6.5933485,1
10.433962,31.54801,1
-32.915394,-80.51108,1
40.088257,49.870342,1
35.118862,-71.44566,1
105.8824,-2.2387767,1
20.472363,64.758064,1
46.35803,-56.334164,1
-15.295153,-15.885965,1
74.2621,18.98187,1
73.0,-50.898335,1
-95.41989,9.593563,0
104.94425,7.370591,1
78.34646,-23.091028,1
9.978286,-83.94016,1
67.42167,8.299171,1
30.871246,-34.792355,1
17.553677,18.634415,1
54.689262,-8.975912,1
15.908594,-80.70932,1
64.97278,-1.2835674,1
3.6908858,-72.61398,1
7.17992,43.34315,1
89.35196,-26.837507,1
-32.518772,-74.831024,1
75.98061,-58.474262,1
69.29581,-47.25711,1
-30.590914,-65.25536,1
56.540836,-14.524289,1
87.71444,35.99976,1
-30.81005,-61.490887,1
19.23857,64.262405,1
20.472363,64.758064,1
30.067081,-40.76711,1
105.74882,5.688866,1
79.391235,-10.565153,1
40.56021,-12.809987,1
20.472363,64.758064,1
20.472363,64.758064,1
-57.17651,4.7117257,0
67.177086,-45.819653,1
48.571434,-24.731327,1
-16.278536,-85.2986,1
78.8251,26.527697,1
-74.22568,17.00907,0
-29.577532,-64.15045,1
19.23857,64.262405,1
-74.19496,-5.166097,0
-1.5499363,61.243015,0
20.472363,64.758064,1
-3.3399363,-30.85663,1
20.472363,64.758064,1
20.472363,64.758064,1
51.174225,-12.633233,1
103.67825,9.014842,1
-23.579338,-74.16542,1
73.203995,-22.70545,1
8.260644,-68.238655,1
-59.007927,41.015324,0
71.00364,-49.040615,1
20.472363,64.758064,1
20.472363,64.758064,1
18.976284,-77.81215,1
-17.835684,-82.38134,1
-4.214229,-85.56954,1
57.87072,-14.313109,1
20.472363,64.758064,1
20.472363,64.758064,1
64.69758,20.109003,1
73.03813,-22.728432,1
37.73163,-15.373068,1
-29.20799,-65.63683,1
-18.557375,-56.78803,1
20.472363,64.758064,1
102.02336,10.541542,1
1.8613582,-41.376396,1
17.06384,-27.855602,1
105.25022,6.86401,1
43.90511,19.37658,1
11.555107,-88.822876,1
68.4952,7.775573,0
17.844555,-64.79877,1
5.553669,27.445032,1
-74.76548,-25.418787,0
22.726334,-66.70542,1
4.4401636,19.943226,0
-13.834715,-42.52124,1
55.71057,57.09863,1
62.489964,9.936255,0
58.318108,11.5514345,1
58.324215,11.575403,1
-15.4270115,54.776447,0
-17.606676,-82.77702,1
48.43365,79.98382,1
19.753782,65.79049,1
18.64965,-47.345524,1
-8.274934,4.995046,0
-35.267548,-74.74518,1
1.4395566,-24.822533,1
28.80339,-34.98696,1
79.8255,-10.570939,1
98.876335,16.305521,1
27.366312,-67.88829,1
63.576393,-43.81611,1
-9.453709,1.4058483,0
85.62638,-25.346376,1
80.55635,24.664314,1
22.042608,66.01474,1
24.057993,-0.6601463,1
58.65163,-41.623955,1
-47.764656,30.378763,0
58.16892,58.221676,1
94.976616,15.526647,1
-9.779258,-56.559193,1
19.531721,66.932076,1
9.31998,21.608883,1
-29.740358,-26.939434,1
31.19448,-69.06319,1
49.469116,-28.32701,1
88.80875,-26.54333,1
91.063286,34.13229,1
-26.814682,-17.456095,1
19.531721,66.932076,1
-26.197178,-78.926,1
-39.471043,-54.072906,1
20.472363,64.758064,1
-5.493946,-31.52768,0
56.176674,19.58242,1
14.86726,-21.507135,1
53.6425,-40.27179,1
20.956217,3.0540304,1
16.761026,-74.91281,1
21.130781,-27.555616,1
18.675768,63.35699,1
69.488495,53.872456,1
8.61214,-67.96369,1
16.114082,-76.81057,1
44.1484,-4.006895,1
19.531721,66.932076,1
33.979855,-70.711784,1
20.712397,-40.272923,1
17.06153,-3.9227474,0
12.933574,-32.376957,1
-18.221577,-75.26253,1
14.09936,-41.011932,1
32.763134,-70.39044,1
48.519485,-61.424084,1
67.9406,57.653805,1
60.058643,-12.218178,1
1.269963,-41.148823,1
1.1293658,-71.07305,1
35.177387,-29.77655,1
70.03893,28.660862,1
19.23857,64.262405,1
-36.742302,-47.082077,1
-30.624798,-31.736717,1
1.1892779,-41.103657,1
49.49724,-25.56164,1
40.54656,-14.78791,1
-26.132719,-78.65549,1
20.472363,64.758064,1
19.753782,65.79049,1
30.232214,-41.733055,1
-33.5399,76.17189,0
-66.726135,-21.597,0
-30.788282,-57.63513,1
-19.980473,54.726944,0
-16.93482,15.569959,0
-81.40473,12.477286,0
38.618332,50.908573,1
-60.849316,45.040375,0
-15.387779,-50.36995,1
85.411415,-25.279165,1
58.62284,-16.993385,1
11.1512375,35.668705,1
-60.126423,4.7730217,0
22.13926,33.96159,1
-90.29248,35.48169,0
-87.40314,33.08726,0
-89.34772,39.85002,0
48.454098,-62.337082,1
-41.86337,-9.3004265,1
79.53903,-7.1920795,1
-38.527645,-27.66419,1
-43.530094,10.084224,1
-84.50773,-3.1799357,0
-2.1982794,-58.059887,1
-31.343065,-28.833937,1
47.92884,-42.09746,1
-11.575227,6.6381464,0
44.6147,-5.2642474,1
74.62481,-54.185387,1
-12.409683,-33.180035,1
-33.27055,50.166218,0
-36.532616,51.63109,0
6.8313036,-4.7751064,1
20.345316,3.0669806,1
70.30262,-3.9191625,1
90.58281,-27.319204,1
-88.659966,-2.6363976,0
66.80865,38.040676,1
69.419876,54.644966,1
-15.588507,-51.69373,1
-59.17042,40.598553,0
106.51198,0.85256046,1
-15.645276,11.560156,0
-0.63663685,-85.30903,1
-61.76685,-10.023659,0
17.565601,17.255903,1
-60.436214,-19.261696,0
-53.954258,33.675793,0
37.20861,-31.994848,1
-36.81183,70.66165,0
5.5033994,-9.467335,1
-35.360165,52.770206,0
-22.940144,-8.895,1
-2.064364,0.15686914,1
-25.143076,-71.5917,1
46.52167,-40.76151,1
27.995575,7.3999147,0
39.05472,-27.677221,1
32.787224,2.6246085,1
-33.286736,75.9741,0
-3.5091112,-33.72306,1
4.240887,-40.16657,1
29.628443,-5.3791537,1
45.177467,-7.5729847,1
-35.125584,-6.875762,0
-27.388807,51.300575,0
-22.577986,38.437355,0
13.759176,47.869892,0
39.87875,51.529327,1
66.83099,38.019413,1
103.83174,-7.933712,1
-8.538463,14.866477,1
68.9037,-58.433807,1
-62.557693,44.673603,0
-2.3589828,-32.77362,1
30.717623,-67.21927,0
16.742407,-12.559771,1
19.753782,65.79049,1
-19.287058,18.153385,0
74.332214,-22.337795,1
0.78230196,-73.59256,1
-78.14925,22.681652,0
-27.758427,-80.67768,1
48.359024,-60.840042,1
20.394804,8.887583,1
-17.35697,-83.1894,1
46.541626,-5.3127656,1
19.531721,66.932076,1
-13.262328,-3.234846,0
-34.168163,-52.45507,1
26.132889,-44.093887,1
62.23015,-42.857334,1
-89.91026,-1.2289528,0
20.976837,40.836487,1
9.392063,-22.18006,1
35.925648,-23.048807,1
38.065758,-77.22605,1
-95.151924,13.855872,0
-59.17374,44.62457,0
51.29424,-54.94463,1
-39.82208,25.219767,0
44.65883,-48.74849,1
19.531721,66.932076,1
15.420366,38.04385,1
-21.072916,37.114902,0
73.49144,-51.76922,1
19.240814,-29.57015,1
-26.613026,-50.78966,1
28.072948,-24.351532,1
19.531721,66.932076,1
-92.05241,5.5900126,0
-93.60228,17.092115,0
11.761683,-27.059086,1
-28.426254,-9.283037,1
19.531721,66.932076,1
1.0627121,-81.31627,1
-41.391388,-8.078315,1
12.91952,-24.494076,1
39.87875,51.529327,1
29.2858,-4.2711735,1
70.199326,-47.9376,1
101.14908,2.4928691,0
104.09968,-7.2680435,1
103.62625,-8.490118,1
39.301,-14.377918,1
-31.556265,-32.0156,1
15.774752,38.247932,1
78.74665,-23.181862,1
77.824936,25.746414,1
-2.1824303,4.1607018,0
-27.986298,5.3318605,0
-23.001934,45.9239,0
97.88737,13.316182,1
-38.346687,21.08334,0
4.826229,-52.752316,1
-9.402425,-16.446724,1
-71.22241,-18.435259,0
46.35862,-56.334126,1
-2.2327266,-79.44447,1
-20.62499,-16.507345,1
-51.08691,33.4661,0
-22.632309,-28.751822,1
-16.45186,-25.687475,1
30.971622,-39.39509,1
-42.80673,-48.95239,1
-42.09642,-45.688995,1
19.753782,65.79049,1
-15.389995,-13.842419,1
-10.679836,3.8397255,0
-22.811913,-8.6435995,1
-33.16826,73.456726,0
-5.2712464,-76.896194,1
6.4167914,-28.065308,1
0.55698335,-22.137053,1
11.943578,-90.66728,1
-33.41031,-59.11101,1
-25.264717,-85.66127,1
19.23857,64.262405,1
62.0538,43.687637,1
22.763409,11.387158,1
19.23857,64.262405,1
-43.119133,9.159667,1
22.784353,-66.762245,1
-30.730673,18.451107,1
-29.423754,-45.041958,1
-15.014604,-58.248966,1
-36.315872,-41.700874,1
43.76638,-22.16855,1
-70.136215,-3.82418,0
-26.194555,46.1722,0
-36.153496,-35.24251,1
-63.06098,-15.860089,0
52.41862,81.15291,1
17.235338,-74.870705,1
3.3503864,28.442783,1
19.746058,63.177677,1
-3.449441,-32.39795,1
65.18429,-1.1109267,1
68.81158,-58.37705,1
-5.1243153,18.387938,1
-29.635536,-79.86627,1
-60.678337,25.480795,0
66.07919,-34.97599,1
-9.138179,39.21648,0
-3.037105,-51.42548,1
35.375618,-27.15884,1
-32.868095,16.010494,1
45.679333,-53.107666,1
-41.835617,-50.080128,1
-33.30472,75.403725,0
70.06615,28.474806,1
44.0179,-0.50614053,1
-41.21113,-45.492702,1
-14.518939,-34.23499,1
27.88265,-25.449684,1
-57.25028,3.3551762,0
105.119354,-4.9166665,1
87.92377,38.912308,1
39.26385,-23.214293,1
19.531721,66.932076,1
-32.326485,62.861717,0
94.658806,15.622965,1
21.014967,-81.190384,1
11.939761,-90.55488,1
68.52893,-31.458284,1
35.28747,-18.014086,1
-73.792946,1.0723308,0
64.490616,19.813326,1
35.596436,-16.078,1
-28.102959,21.70841,1
-0.6560403,-85.34704,1
-26.158726,-5.647909,1
-41.37769,-10.212184,1
-0.89677536,5.1431093,0
18.077099,63.24847,1
-35.43236,68.1296,0
-90.06298,27.284142,0
15.996034,-77.21446,1
-37.544846,50.378017,0
-27.720867,-17.675428,1
-41.87716,13.49857,1
2.8453171,-34.252632,1
-56.044167,33.76925,0
106.39363,3.5357108,1
-62.568897,7.1555552,0
-29.906528,-40.181606,1
-34.614094,-79.145874,1
-38.867218,-8.552461,0
-41.78306,-11.615461,0
-37.680443,2.9492855,1
35.180286,-15.744417,1
18.759174,-40.107483,1
-68.98765,-31.758892,0
89.68244,-27.180998,1
106.51375,2.6392584,1
9.725785,-37.656315,0
19.753782,65.79049,1
4.9033847,-18.926172,1
52.823654,-1.1549248,1
-30.294367,69.00896,0
-25.26544,-78.70293,1
39.87875,51.529327,1
45.87001,-54.781696,1
-4.5081577,-29.093153,1
19.753782,65.79049,1
18.937704,-10.445388,1
-2.5245261,-18.489,1
-14.779866,-54.506927,1
-39.41399,-28.14613,1
66.2612,31.368372,1
-18.61051,-56.96666,1
28.751425,-35.91406,1
8.544021,-75.07463,1
15.932246,-74.300514,1
-27.562542,-46.059517,1
-4.358643,-17.705774,1
20.891962,37.480534,1
51.578213,-52.200596,1
-39.521996,-32.764507,1
76.44377,-22.73604,1
-34.66568,4.8082104,1
-38.105034,48.518253,0
-2.7678416,-51.520786,0
-65.251396,-5.6983337,0
-2.3862858,-42.363144,1
48.99134,-6.2809668,1
-3.014785,-33.05367,1
38.121002,-23.715439,1
45.117718,-41.768074,1
-33.6844,-59.318058,1
45.87514,-48.79644,1
-92.29966,18.104565,0
19.753782,65.79049,1
8.24989,24.980497,1
-43.38659,13.083812,1
53.478527,-38.1201,1
-12.785518,1.8716564,0
11.8649435,-89.804565,1
37.508118,18.043076,1
38.52136,8.620615,1
-40.38961,-12.522795,1
-13.186048,-36.10864,1
38.618332,50.908573,1
24.763313,-8.280531,1
11.492856,47.910694,0
69.50156,35.91969,1
86.3383,35.448772,1
33.737743,-19.963753,0
4.7984085,-68.38949,1
-15.519173,-28.16938,1
-5.6928496,28.49164,0
-52.491096,39.45637,0
-36.327908,15.876577,0
19.531721,66.932076,1
28.494722,23.091158,1
45.033978,-22.157526,1
35.530643,-27.74549,1
-17.702524,-54.431595,1
65.95623,0.62167805,1
57.55653,-41.379444,1
8.302965,-73.01251,1
26.79485,24.049412,1
-29.451654,44.129517,0
-21.346466,-80.21528,1
103.50742,-5.2710586,1
33.186943,-26.180674,1
74.57908,19.012089,1
-7.6182017,-55.225502,1
46.013775,-43.306976,1
-33.17242,71.6958,0
48.304638,-60.66159,1
-6.400185,-50.742966,1
-61.057316,45.153675,0
61.321556,6.9883804,1
12.924585,-24.002504,1
-36.685925,69.32302,0
-11.32832,33.06584,0
-8.85536,-21.654837,0
-44.00868,-47.117344,1
43.492188,-30.682692,1
12.95349,-34.568184,1
33.509403,5.0701156,0
61.594875,-1.0203592,1
-14.134214,71.87477,0
-51.647938,32.42202,0
-46.140194,33.37511,0
-30.13623,46.76865,0
20.22653,63.573486,1
1.7157937,-34.894653,1
-29.479368,-22.999514,1
73.17793,-22.703459,1
-23.275276,-25.594086,1
37.203224,-75.1581,1
-14.47534,-42.752644,1
34.426167,-18.378902,1
11.576655,-83.34869,1
37.547028,8.4986925,1
-6.389009,-50.795998,1
20.818619,-45.835926,1
-25.153944,-71.143105,1
67.00285,-1.9471179,1
-26.278095,-86.10045,1
50.337944,-44.344723,1
0.33092952,-42.167873,1
18.362314,63.38176,1
74.30111,-22.546345,1
48.80052,-13.056423,1
-32.755337,-57.13514,1
-33.316986,77.513885,0
56.17557,-6.59721,1
95.570984,15.228058,1
70.661835,-23.443338,1
1.3752608,-70.76822,1
-14.943014,-69.41731,1
-26.584051,-47.73577,1
-38.902905,58.810352,0
-15.058235,1.513093,0
90.05447,-26.885094,1
-20.252853,-0.9470325,0
-28.478474,-20.729633,1
84.16781,-24.905651,1
39.65465,-52.438095,1
62.822834,-6.196085,1
-2.9640348,24.307352,0
63.683784,5.401716,1
33.054214,6.170002,0
-34.15806,-52.245953,1
-34.78419,-51.66267,1
18.779638,-77.49619,1
-13.959698,-77.592834,1
-31.449232,-8.464058,1
55.697037,-13.974189,1
91.03248,-27.707699,1
86.395386,-22.336279,0
-31.241232,-60.78437,1
13.533026,5.3423004,1
68.3156,8.279822,1
21.942621,25.672144,1
87.811646,37.905838,1
-20.201454,-82.258194,1
58.739246,-41.668594,1
70.681526,2.0546463,1
20.626345,-80.38507,1
61.571373,-1.054038,1
-29.835623,51.186802,0
-12.651669,46.11022,0
47.394466,-58.49038,1
39.61743,50.73323,1
37.766872,16.218851,1
-35.001728,-16.983774,1
36.27205,-16.583776,1
43.32696,10.054669,0
-10.207889,-14.318735,1
-26.061588,-70.759705,1
-41.310226,-38.43531,1
40.38372,49.01504,1
-35.55857,-25.257603,1
-63.07237,-15.906281,0
7.9550934,-19.621414,1
46.475998,-27.13774,1
19.753782,65.79049,1
19.940063,9.466986,1
-37.167973,7.8453484,1
14.069491,21.370762,1
-14.355742,4.855537,0
103.94566,-3.9899495,1
58.67011,-17.265598,1
16.58213,-76.81383,1
66.11044,11.548465,1
