TSNE1,TSNE2,Cluster
20.472363,64.758064,1
100.44192,11.739224,4
20.472363,64.758064,1
90.973236,34.38839,4
37.25141,-5.518789,4
30.244377,-39.108387,2
19.23857,64.262405,1
31.38532,72.90533,1
104.64969,7.821708,4
5.8289638,-67.12644,2
68.88652,-24.84684,4
29.175749,-36.532967,2
18.128736,-75.79529,2
75.81601,-22.630213,4
100.0238,12.004762,4
1.362956,13.17921,2
19.23857,64.262405,1
-31.5955,-74.24302,2
105.38127,6.5933485,4
10.433962,31.54801,2
-32.915394,-80.51108,2
40.088257,49.870342,1
35.118862,-71.44566,2
105.8824,-2.2387767,4
20.472363,64.758064,1
46.35803,-56.334164,2
-15.295153,-15.885965,2
74.2621,18.98187,4
73.0,-50.898335,2
-95.41989,9.593563,0
104.94425,7.370591,4
78.34646,-23.091028,4
9.978286,-83.94016,2
67.42167,8.299171,4
30.871246,-34.792355,2
17.553677,18.634415,2
54.689262,-8.975912,4
15.908594,-80.70932,2
64.97278,-1.2835674,4
3.6908858,-72.61398,2
7.17992,43.34315,2
89.35196,-26.837507,4
-32.518772,-74.831024,2
75.98061,-58.474262,2
69.29581,-47.25711,2
-30.590914,-65.25536,2
56.540836,-14.524289,4
87.71444,35.99976,4
-30.81005,-61.490887,2
19.23857,64.262405,1
20.472363,64.758064,1
30.067081,-40.76711,2
105.74882,5.688866,4
79.391235,-10.565153,4
40.56021,-12.809987,2
20.472363,64.758064,1
20.472363,64.758064,1
-57.17651,4.7117257,2
67.177086,-45.819653,2
48.571434,-24.731327,2
-16.278536,-85.2986,2
78.8251,26.527697,4
-74.22568,17.00907,0
-29.577532,-64.15045,2
19.23857,64.262405,1
-74.19496,-5.166097,2
-1.5499363,61.243015,2
20.472363,64.758064,1
-3.3399363,-30.85663,2
20.472363,64.758064,1
20.472363,64.758064,1
51.174225,-12.633233,4
103.67825,9.014842,4
-23.579338,-74.16542,2
73.203995,-22.70545,4
8.260644,-68.238655,2
-59.007927,41.015324,3
71.00364,-49.040615,2
20.472363,64.758064,1
20.472363,64.758064,1
18.976284,-77.81215,2
-17.835684,-82.38134,2
-4.214229,-85.56954,2
57.87072,-14.313109,4
20.472363,64.758064,1
20.472363,64.758064,1
64.69758,20.109003,4
73.03813,-22.728432,4
37.73163,-15.373068,2
-29.20799,-65.63683,2
-18.557375,-56.78803,2
20.472363,64.758064,1
102.02336,10.541542,4
1.8613582,-41.376396,2
17.06384,-27.855602,2
105.25022,6.86401,4
43.90511,19.37658,4
11.555107,-88.822876,2
68.4952,7.775573,4
17.844555,-64.79877,2
5.553669,27.445032,2
-74.76548,-25.418787,2
22.726334,-66.70542,2
4.4401636,19.943226,2
-13.834715,-42.52124,2
55.71057,57.09863,1
62.489964,9.936255,4
58.318108,11.5514345,4
58.324215,11.575403,4
-15.4270115,54.776447,3
-17.606676,-82.77702,2
48.43365,79.98382,1
19.753782,65.79049,1
18.64965,-47.345524,2
-8.274934,4.995046,2
-35.267548,-74.74518,2
1.4395566,-24.822533,2
28.80339,-34.98696,2
79.8255,-10.570939,4
98.876335,16.305521,4
27.366312,-67.88829,2
63.576393,-43.81611,2
-9.453709,1.4058483,2
85.62638,-25.346376,4
80.55635,24.664314,4
22.042608,66.01474,1
24.057993,-0.6601463,2
58.65163,-41.623955,2
-47.764656,30.378763,2
58.16892,58.221676,1
94.976616,15.526647,4
-9.779258,-56.559193,2
19.531721,66.932076,1
9.31998,21.608883,2
-29.740358,-26.939434,2
31.19448,-69.06319,2
49.469116,-28.32701,2
88.80875,-26.54333,4
91.063286,34.13229,4
-26.814682,-17.456095,2
19.531721,66.932076,1
-26.197178,-78.926,2
-39.471043,-54.072906,2
20.472363,64.758064,1
-5.493946,-31.52768,2
56.176674,19.58242,4
14.86726,-21.507135,2
53.6425,-40.27179,2
20.956217,3.0540304,2
16.761026,-74.91281,2
21.130781,-27.555616,2
18.675768,63.35699,1
69.488495,53.872456,4
8.61214,-67.96369,2
16.114082,-76.81057,2
44.1484,-4.006895,4
19.531721,66.932076,1
33.979855,-70.711784,2
20.712397,-40.272923,2
17.06153,-3.9227474,2
12.933574,-32.376957,2
-18.221577,-75.26253,2
14.09936,-41.011932,2
32.763134,-70.39044,2
48.519485,-61.424084,2
67.9406,57.653805,4
60.058643,-12.218178,4
1.269963,-41.148823,2
1.1293658,-71.07305,2
35.177387,-29.77655,2
70.03893,28.660862,4
19.23857,64.262405,1
-36.742302,-47.082077,2
-30.624798,-31.736717,2
1.1892779,-41.103657,2
49.49724,-25.56164,2
40.54656,-14.78791,2
-26.132719,-78.65549,2
20.472363,64.758064,1
19.753782,65.79049,1
30.232214,-41.733055,2
-33.5399,76.17189,3
-66.726135,-21.597,2
-30.788282,-57.63513,2
-19.980473,54.726944,3
-16.93482,15.569959,2
-81.40473,12.477286,0
38.618332,50.908573,1
-60.849316,45.040375,3
-15.387779,-50.36995,2
85.411415,-25.279165,4
58.62284,-16.993385,4
11.1512375,35.668705,2
-60.126423,4.7730217,2
22.13926,33.96159,2
-90.29248,35.48169,0
-87.40314,33.08726,0
-89.34772,39.85002,0
48.454098,-62.337082,2
-41.86337,-9.3004265,2
79.53903,-7.1920795,4
-38.527645,-27.66419,2
-43.530094,10.084224,2
-84.50773,-3.1799357,2
-2.1982794,-58.059887,2
-31.343065,-28.833937,2
47.92884,-42.09746,2
-11.575227,6.6381464,2
44.6147,-5.2642474,4
74.62481,-54.185387,2
-12.409683,-33.180035,2
-33.27055,50.166218,2
-36.532616,51.63109,2
6.8313036,-4.7751064,4
20.345316,3.0669806,2
70.30262,-3.9191625,4
90.58281,-27.319204,4
-88.659966,-2.6363976,2
66.80865,38.040676,4
69.419876,54.644966,4
-15.588507,-51.69373,2
-59.17042,40.598553,3
106.51198,0.85256046,4
-15.645276,11.560156,2
-0.63663685,-85.30903,2
-61.76685,-10.023659,2
17.565601,17.255903,2
-60.436214,-19.261696,2
-53.954258,33.675793,3
37.20861,-31.994848,2
-36.81183,70.66165,3
5.5033994,-9.467335,2
-35.360165,52.770206,2
-22.940144,-8.895,2
-2.064364,0.15686914,2
-25.143076,-71.5917,2
46.52167,-40.76151,2
27.995575,7.3999147,2
39.05472,-27.677221,2
32.787224,2.6246085,2
-33.286736,75.9741,3
-3.5091112,-33.72306,2
4.240887,-40.16657,2
29.628443,-5.3791537,2
45.177467,-7.5729847,4
-35.125584,-6.875762,2
-27.388807,51.300575,2
-22.577986,38.437355,2
13.759176,47.869892,2
39.87875,51.529327,1
66.83099,38.019413,4
103.83174,-7.933712,4
-8.538463,14.866477,2
68.9037,-58.433807,2
-62.557693,44.673603,3
-2.3589828,-32.77362,2
30.717623,-67.21927,2
16.742407,-12.559771,2
19.753782,65.79049,1
-19.287058,18.153385,2
74.332214,-22.337795,4
0.78230196,-73.59256,2
-78.14925,22.681652,0
-27.758427,-80.67768,2
48.359024,-60.840042,2
20.394804,8.887583,2
-17.35697,-83.1894,2
46.541626,-5.3127656,4
19.531721,66.932076,1
